gw_id,village_id,village_name,date,week_number,depth_below_surface_m,trend,classification,source,confidence
GWVLG0001W01,VLG0001,Salegaon,2025-01-06,1,29.09,stable,safe,CGWB_synthetic,high
GWVLG0001W02,VLG0001,Salegaon,2025-01-13,2,29.12,stable,safe,CGWB_synthetic,high
GWVLG0001W03,VLG0001,Salegaon,2025-01-20,3,29.18,stable,safe,CGWB_synthetic,high
GWVLG0001W04,VLG0001,Salegaon,2025-01-27,4,29.2,stable,safe,CGWB_synthetic,high
GWVLG0001W05,VLG0001,Salegaon,2025-02-03,5,29.26,stable,safe,CGWB_synthetic,high
GWVLG0001W06,VLG0001,Salegaon,2025-02-10,6,29.23,stable,safe,CGWB_synthetic,high
GWVLG0001W07,VLG0001,Salegaon,2025-02-17,7,29.2,stable,safe,CGWB_synthetic,high
GWVLG0001W08,VLG0001,Salegaon,2025-02-24,8,29.21,stable,safe,CGWB_synthetic,high
GWVLG0001W09,VLG0001,Salegaon,2025-03-03,9,29.23,stable,safe,CGWB_synthetic,high
GWVLG0001W10,VLG0001,Salegaon,2025-03-10,10,29.25,stable,safe,CGWB_synthetic,high
GWVLG0001W11,VLG0001,Salegaon,2025-03-17,11,29.2,stable,safe,CGWB_synthetic,high
GWVLG0001W12,VLG0001,Salegaon,2025-03-24,12,29.21,stable,safe,CGWB_synthetic,high
GWVLG0001W13,VLG0001,Salegaon,2025-03-31,13,29.19,stable,safe,CGWB_synthetic,high
GWVLG0001W14,VLG0001,Salegaon,2025-04-07,14,29.22,stable,safe,CGWB_synthetic,high
GWVLG0001W15,VLG0001,Salegaon,2025-04-14,15,29.25,stable,safe,CGWB_synthetic,high
GWVLG0001W16,VLG0001,Salegaon,2025-04-21,16,29.23,stable,safe,CGWB_synthetic,high
GWVLG0001W17,VLG0001,Salegaon,2025-04-28,17,29.23,stable,safe,CGWB_synthetic,high
GWVLG0001W18,VLG0001,Salegaon,2025-05-05,18,29.21,stable,safe,CGWB_synthetic,high
GWVLG0001W19,VLG0001,Salegaon,2025-05-12,19,29.22,stable,safe,CGWB_synthetic,high
GWVLG0001W20,VLG0001,Salegaon,2025-05-19,20,29.27,stable,safe,CGWB_synthetic,high
GWVLG0001W21,VLG0001,Salegaon,2025-05-26,21,29.25,stable,safe,CGWB_synthetic,high
GWVLG0001W22,VLG0001,Salegaon,2025-06-02,22,29.28,stable,safe,CGWB_synthetic,high
GWVLG0001W23,VLG0001,Salegaon,2025-06-09,23,29.28,stable,safe,CGWB_synthetic,high
GWVLG0001W24,VLG0001,Salegaon,2025-06-16,24,28.89,rising,safe,CGWB_synthetic,high
GWVLG0001W25,VLG0001,Salegaon,2025-06-23,25,28.53,rising,safe,CGWB_synthetic,high
GWVLG0001W26,VLG0001,Salegaon,2025-06-30,26,28.13,rising,safe,CGWB_synthetic,high
GWVLG0001W27,VLG0001,Salegaon,2025-07-07,27,27.75,rising,safe,CGWB_synthetic,high
GWVLG0001W28,VLG0001,Salegaon,2025-07-14,28,27.34,rising,safe,CGWB_synthetic,high
GWVLG0001W29,VLG0001,Salegaon,2025-07-21,29,27.09,rising,safe,CGWB_synthetic,high
GWVLG0001W30,VLG0001,Salegaon,2025-07-28,30,26.74,rising,safe,CGWB_synthetic,high
GWVLG0001W31,VLG0001,Salegaon,2025-08-04,31,26.36,rising,safe,CGWB_synthetic,high
GWVLG0001W32,VLG0001,Salegaon,2025-08-11,32,26.02,rising,safe,CGWB_synthetic,high
GWVLG0001W33,VLG0001,Salegaon,2025-08-18,33,25.66,rising,safe,CGWB_synthetic,high
GWVLG0001W34,VLG0001,Salegaon,2025-08-25,34,25.3,rising,safe,CGWB_synthetic,high
GWVLG0001W35,VLG0001,Salegaon,2025-09-01,35,24.98,rising,safe,CGWB_synthetic,high
GWVLG0001W36,VLG0001,Salegaon,2025-09-08,36,24.67,rising,safe,CGWB_synthetic,high
GWVLG0001W37,VLG0001,Salegaon,2025-09-15,37,24.3,rising,safe,CGWB_synthetic,high
GWVLG0001W38,VLG0001,Salegaon,2025-09-22,38,23.92,rising,safe,CGWB_synthetic,high
GWVLG0001W39,VLG0001,Salegaon,2025-09-29,39,23.55,rising,safe,CGWB_synthetic,high
GWVLG0001W40,VLG0001,Salegaon,2025-10-06,40,23.5,rising,safe,CGWB_synthetic,high
GWVLG0001W41,VLG0001,Salegaon,2025-10-13,41,23.47,rising,safe,CGWB_synthetic,high
GWVLG0001W42,VLG0001,Salegaon,2025-10-20,42,23.52,rising,safe,CGWB_synthetic,high
GWVLG0001W43,VLG0001,Salegaon,2025-10-27,43,23.58,stable,safe,CGWB_synthetic,high
GWVLG0001W44,VLG0001,Salegaon,2025-11-03,44,23.59,stable,safe,CGWB_synthetic,high
GWVLG0001W45,VLG0001,Salegaon,2025-11-10,45,23.62,stable,safe,CGWB_synthetic,high
GWVLG0001W46,VLG0001,Salegaon,2025-11-17,46,23.65,stable,safe,CGWB_synthetic,high
GWVLG0001W47,VLG0001,Salegaon,2025-11-24,47,23.75,stable,safe,CGWB_synthetic,high
GWVLG0001W48,VLG0001,Salegaon,2025-12-01,48,23.8,stable,safe,CGWB_synthetic,high
GWVLG0001W49,VLG0001,Salegaon,2025-12-08,49,23.81,stable,safe,CGWB_synthetic,high
GWVLG0001W50,VLG0001,Salegaon,2025-12-15,50,23.8,stable,safe,CGWB_synthetic,high
GWVLG0001W51,VLG0001,Salegaon,2025-12-22,51,23.76,stable,safe,CGWB_synthetic,high
GWVLG0001W52,VLG0001,Salegaon,2025-12-29,52,23.78,stable,safe,CGWB_synthetic,high
GWVLG0002W01,VLG0002,Pulgaon,2025-01-06,1,20.44,stable,safe,CGWB_synthetic,high
GWVLG0002W02,VLG0002,Pulgaon,2025-01-13,2,20.48,stable,safe,CGWB_synthetic,high
GWVLG0002W03,VLG0002,Pulgaon,2025-01-20,3,20.49,stable,safe,CGWB_synthetic,high
GWVLG0002W04,VLG0002,Pulgaon,2025-01-27,4,20.54,stable,safe,CGWB_synthetic,high
GWVLG0002W05,VLG0002,Pulgaon,2025-02-03,5,20.55,stable,safe,CGWB_synthetic,high
GWVLG0002W06,VLG0002,Pulgaon,2025-02-10,6,20.53,stable,safe,CGWB_synthetic,high
GWVLG0002W07,VLG0002,Pulgaon,2025-02-17,7,20.59,stable,safe,CGWB_synthetic,high
GWVLG0002W08,VLG0002,Pulgaon,2025-02-24,8,20.61,stable,safe,CGWB_synthetic,high
GWVLG0002W09,VLG0002,Pulgaon,2025-03-03,9,20.59,stable,safe,CGWB_synthetic,high
GWVLG0002W10,VLG0002,Pulgaon,2025-03-10,10,20.59,stable,safe,CGWB_synthetic,high
GWVLG0002W11,VLG0002,Pulgaon,2025-03-17,11,20.57,stable,safe,CGWB_synthetic,high
GWVLG0002W12,VLG0002,Pulgaon,2025-03-24,12,20.54,stable,safe,CGWB_synthetic,high
GWVLG0002W13,VLG0002,Pulgaon,2025-03-31,13,20.58,stable,safe,CGWB_synthetic,high
GWVLG0002W14,VLG0002,Pulgaon,2025-04-07,14,20.64,stable,safe,CGWB_synthetic,high
GWVLG0002W15,VLG0002,Pulgaon,2025-04-14,15,20.61,stable,safe,CGWB_synthetic,high
