ws_id,village_id,village_name,year,month,month_name,source_type,capacity_liters_per_day,supply_liters_per_day,availability_fraction,supply_hours_per_day,availability_status,treatment_facility,daily_demand_lpd,shortfall_lpd,source
WSVLG0001M01,VLG0001,Salegaon,2025,1,January,bore_well,207576,205137,0.988,17.8,functional,N,129735,0,JJM_synthetic
WSVLG0001M02,VLG0001,Salegaon,2025,2,February,bore_well,207576,206120,0.993,17.9,functional,N,129735,0,JJM_synthetic
WSVLG0001M03,VLG0001,Salegaon,2025,3,March,bore_well,207576,182525,0.879,15.8,functional,N,129735,0,JJM_synthetic
WSVLG0001M04,VLG0001,Salegaon,2025,4,April,bore_well,207576,180632,0.87,15.7,functional,N,129735,0,JJM_synthetic
WSVLG0001M05,VLG0001,Salegaon,2025,5,May,bore_well,207576,170914,0.823,14.8,functional,N,129735,0,JJM_synthetic
WSVLG0001M06,VLG0001,Salegaon,2025,6,June,bore_well,207576,197499,0.951,17.1,functional,N,129735,0,JJM_synthetic
WSVLG0001M07,VLG0001,Salegaon,2025,7,July,bore_well,207576,192458,0.927,16.7,functional,N,129735,0,JJM_synthetic
WSVLG0001M08,VLG0001,Salegaon,2025,8,August,bore_well,207576,201715,0.972,17.5,functional,N,129735,0,JJM_synthetic
WSVLG0001M09,VLG0001,Salegaon,2025,9,September,bore_well,207576,191866,0.924,16.6,functional,N,129735,0,JJM_synthetic
WSVLG0001M10,VLG0001,Salegaon,2025,10,October,bore_well,207576,207576,1.0,18.0,functional,N,129735,0,JJM_synthetic
WSVLG0001M11,VLG0001,Salegaon,2025,11,November,bore_well,207576,190014,0.915,16.5,functional,N,129735,0,JJM_synthetic
WSVLG0001M12,VLG0001,Salegaon,2025,12,December,bore_well,207576,196400,0.946,17.0,functional,N,129735,0,JJM_synthetic
WSVLG0002M01,VLG0002,Pulgaon,2025,1,January,surface_water,203616,200677,0.986,17.7,functional,N,127260,0,JJM_synthetic
WSVLG0002M02,VLG0002,Pulgaon,2025,2,February,surface_water,203616,174118,0.855,15.4,functional,N,127260,0,JJM_synthetic
WSVLG0002M03,VLG0002,Pulgaon,2025,3,March,surface_water,203616,172936,0.849,15.3,functional,N,127260,0,JJM_synthetic
WSVLG0002M04,VLG0002,Pulgaon,2025,4,April,surface_water,203616,173628,0.853,15.3,functional,N,127260,0,JJM_synthetic
WSVLG0002M05,VLG0002,Pulgaon,2025,5,May,surface_water,203616,175344,0.861,15.5,functional,N,127260,0,JJM_synthetic
WSVLG0002M06,VLG0002,Pulgaon,2025,6,June,surface_water,203616,203616,1.0,18.0,functional,N,127260,0,JJM_synthetic
WSVLG0002M07,VLG0002,Pulgaon,2025,7,July,surface_water,203616,203616,1.0,18.0,functional,N,127260,0,JJM_synthetic
WSVLG0002M08,VLG0002,Pulgaon,2025,8,August,surface_water,203616,203616,1.0,18.0,functional,N,127260,0,JJM_synthetic
WSVLG0002M09,VLG0002,Pulgaon,2025,9,September,surface_water,203616,202803,0.996,17.9,functional,N,127260,0,JJM_synthetic
WSVLG0002M10,VLG0002,Pulgaon,2025,10,October,surface_water,203616,193041,0.948,17.1,functional,N,127260,0,JJM_synthetic
WSVLG0002M11,VLG0002,Pulgaon,2025,11,November,surface_water,203616,178937,0.879,15.8,functional,N,127260,0,JJM_synthetic
WSVLG0002M12,VLG0002,Pulgaon,2025,12,December,surface_water,203616,195846,0.962,17.3,functional,N,127260,0,JJM_synthetic
WSVLG0003M01,VLG0003,Hingna,2025,1,January,bore_well,67338,50978,0.757,13.6,functional,N,56115,5137,JJM_synthetic
WSVLG0003M02,VLG0003,Hingna,2025,2,February,bore_well,67338,50721,0.753,13.6,functional,N,56115,5394,JJM_synthetic
WSVLG0003M03,VLG0003,Hingna,2025,3,March,bore_well,67338,44495,0.661,11.9,functional,N,56115,11620,JJM_synthetic
WSVLG0003M04,VLG0003,Hingna,2025,4,April,bore_well,67338,47242,0.702,12.6,functional,N,56115,8873,JJM_synthetic
WSVLG0003M05,VLG0003,Hingna,2025,5,May,bore_well,67338,36928,0.548,9.9,functional,N,56115,19187,JJM_synthetic
WSVLG0003M06,VLG0003,Hingna,2025,6,June,bore_well,67338,56821,0.844,15.2,functional,N,56115,0,JJM_synthetic
